,plate,sal,las,chlor,fraction,std
65,2,7.5,0.3,-,0.8035111120866621,0.03398711352824137
66,2,7.5,1.0,+,0.8137028566348764,0.0011612106882982857
67,2,7.5,1.0,-,0.8178724827023848,0.061169543058304104
68,2,7.5,3.0,+,0.8387912243922868,0.009713421874826595
69,2,7.5,3.0,-,0.8908063811440452,0.009614652046515165
70,2,7.5,10.0,+,0.8305873693312482,0.04130933864349789
71,2,7.5,10.0,-,0.8778285404301627,0.05945488925951887
72,2,10.0,0.3,+,0.9352424212064688,0.0014932125897429696
73,2,10.0,0.3,-,0.9400917467864081,0.00655863455623883
74,2,10.0,1.0,+,0.9449910260788199,0.003935876318672238
75,2,10.0,1.0,-,0.9446693765508203,0.009669071057276117
76,2,10.0,3.0,+,0.950809911389386,0.0022233434013265887
77,2,10.0,3.0,-,0.9539576697196037,0.006147267843585794
78,2,10.0,10.0,+,0.9541075523606266,0.00318608196590654
79,2,10.0,10.0,-,0.9434070139832484,0.01984414466640415
80,2,15.0,0.3,+,0.9378219500453502,0.005173920564039144
81,2,15.0,0.3,-,0.9489603800926777,0.00020493907028632576
82,2,15.0,1.0,+,0.946140646091423,0.007127960894613592
83,2,15.0,1.0,-,0.9456922714153373,0.004833749585048318
84,2,15.0,3.0,+,0.9553308514405909,0.005027158682815261
85,2,15.0,3.0,-,0.9485211692441367,0.000157852918689942
86,2,15.0,10.0,+,0.9575511537275891,0.0045029350682999495
87,2,15.0,10.0,-,0.9572784544222332,0.0038585385138064374
88,2,30.0,0.3,+,0.0,0.0
89,2,30.0,0.3,-,0.9295798046827697,0.003514180305880095
90,2,30.0,1.0,+,0.0,0.0
91,2,30.0,1.0,-,0.9264794400108212,0.0020922441280205877
92,2,30.0,3.0,+,0.0,0.0
93,2,30.0,3.0,-,0.9279773858632296,0.0008213932611475576
94,2,30.0,10.0,+,0.0,0.0
95,2,30.0,10.0,-,0.9641162356704879,0.050747306183795936
96,3,0.0,0.3,+,0.00826375298653104,0.00019327637367680156
97,3,0.0,0.3,-,0.017098531657562036,0.0005780526377435758
98,3,0.0,1.0,+,0.01199387785791051,0.0009434540484899692
99,3,0.0,1.0,-,0.01785905526226624,0.0014134074161179769
100,3,0.0,3.0,+,0.012734592619342514,0.00013992053950972786
101,3,0.0,3.0,-,0.01930914461636592,0.0005118253574579842
102,3,0.0,10.0,+,0.01276241126290503,0.0011303360683477001
103,3,0.0,10.0,-,0.019146390635182364,0.002884801392188603
104,3,5.0,0.3,+,0.5151260562465236,0.05946238347581011
105,3,5.0,0.3,-,0.5671123927843219,0.05920484277882927
106,3,5.0,1.0,+,0.65216256645708,0.0016794610718171192
107,3,5.0,1.0,-,0.6341911601029634,0.09203027031739758
108,3,5.0,3.0,+,0.6536866816272489,0.037563911065076366
109,3,5.0,3.0,-,0.6503323495209501,0.05796034155030577
110,3,5.0,10.0,+,0.7147346129017564,0.014448648627328572
111,3,5.0,10.0,-,0.6885001321682515,0.0553627576495581
112,3,7.5,0.3,+,0.885065379376761,0.0415725975096704
113,3,7.5,0.3,-,0.9453127215048566,0.005526080417891692
114,3,7.5,1.0,+,0.9539832586925208,0.005672541090878048
115,3,7.5,1.0,-,0.9540231443170396,0.005283848687945124
116,3,7.5,3.0,+,0.9661911407658402,0.008212771313932268
117,3,7.5,3.0,-,0.975710711043811,0.0030200586306498387
118,3,7.5,10.0,+,0.9659082172952618,0.010833270006664567
119,3,7.5,10.0,-,0.9788303573686513,0.00016258319364574286
120,3,10.0,0.3,+,1.0,0.0
121,3,10.0,0.3,-,0.9773188845125256,0.00021073362889030933
122,3,10.0,1.0,+,0.9859229340764277,0.0007701962172241114
123,3,10.0,1.0,-,0.9787245922038494,0.0020491298912108866
124,3,10.0,3.0,+,0.9823360232739384,0.0027247072902480095
125,3,10.0,3.0,-,0.9814832805699208,0.004838331868120246
126,3,10.0,10.0,+,0.9879202114317768,0.0021170134233651
127,3,10.0,10.0,-,0.9829017542045679,0.004081235637727913
128,3,15.0,0.3,+,1.0,0.0
129,3,15.0,0.3,-,0.9681755097218768,0.0006667207026340572
130,3,15.0,1.0,+,1.0,0.0
131,3,15.0,1.0,-,0.97351962956216,0.0015927917863744886
132,3,15.0,3.0,+,1.0,0.0
133,3,15.0,3.0,-,0.975277435074902,0.0072304010260793895
134,3,15.0,10.0,+,1.0,0.0
135,3,15.0,10.0,-,0.9774225044443734,0.00703464576671382
136,3,30.0,0.3,+,0.037915520027956146,0.053620642647964296
137,3,30.0,0.3,-,1.0,0.0
138,3,30.0,1.0,+,0.0,0.0
139,3,30.0,1.0,-,1.0,0.0
140,3,30.0,3.0,+,0.0,0.0
141,3,30.0,3.0,-,1.0,0.0
142,3,30.0,10.0,+,0.0,0.0
143,3,30.0,10.0,-,1.0,0.0
144,4,0.0,0.3,+,0.009705717329316323,0.0006497059455565904
145,4,0.0,0.3,-,0.02323949765741098,0.00026608562523839843
