,plate,strain,sal,las,iptg,chlor,replicate,Measurement
51,1,stem,10.0,3,0,-,2,662.0
52,1,stem,10.0,3,10,+,1,3128.0
53,1,stem,10.0,3,10,+,2,3632.0
54,1,stem,10.0,3,10,-,1,5293.0
55,1,stem,10.0,3,10,-,2,5491.0
56,1,stem,10.0,3,30,+,1,5932.0
57,1,stem,10.0,3,30,+,2,5367.0
58,1,stem,10.0,3,30,-,1,8056.0
59,1,stem,10.0,3,30,-,2,8133.0
60,1,stem,10.0,3,100,+,1,5037.0
61,1,stem,10.0,3,100,+,2,5479.0
62,1,stem,10.0,3,100,-,1,6983.0
63,1,stem,10.0,3,100,-,2,6872.0
64,1,stem,12.5,3,0,+,1,624.0
65,1,stem,12.5,3,0,+,2,605.0
66,1,stem,12.5,3,0,-,1,711.0
67,1,stem,12.5,3,0,-,2,711.0
68,1,stem,12.5,3,10,+,1,4130.0
69,1,stem,12.5,3,10,+,2,4181.0
70,1,stem,12.5,3,10,-,1,5459.0
71,1,stem,12.5,3,10,-,2,5663.0
72,1,stem,12.5,3,30,+,1,7738.0
73,1,stem,12.5,3,30,+,2,6786.0
74,1,stem,12.5,3,30,-,1,9229.0
75,1,stem,12.5,3,30,-,2,9315.0
76,1,stem,12.5,3,100,+,1,6731.0
77,1,stem,12.5,3,100,+,2,7134.0
78,1,stem,12.5,3,100,-,1,7778.0
79,1,stem,12.5,3,100,-,2,7998.0
80,1,stem,15.0,3,0,+,1,656.0
81,1,stem,15.0,3,0,+,2,649.0
82,1,stem,15.0,3,0,-,1,733.0
83,1,stem,15.0,3,0,-,2,746.0
84,1,stem,15.0,3,10,+,1,4278.0
85,1,stem,15.0,3,10,+,2,4294.0
86,1,stem,15.0,3,10,-,1,5737.0
87,1,stem,15.0,3,10,-,2,5859.0
88,1,stem,15.0,3,30,+,1,7698.0
89,1,stem,15.0,3,30,+,2,7714.0
90,1,stem,15.0,3,30,-,1,9386.0
91,1,stem,15.0,3,30,-,2,9040.0
92,1,stem,15.0,3,100,+,1,7274.0
93,1,stem,15.0,3,100,+,2,7560.0
94,1,stem,15.0,3,100,-,1,7526.0
95,1,stem,15.0,3,100,-,2,8270.0
96,2,HCA_1,0.0,0,0,-,1,12.0
97,2,HCA_1,0.0,0,0,-,2,11.0
98,2,HCA_2,0.0,0,0,-,1,19.0
99,2,HCA_2,0.0,0,0,-,2,13.0
100,2,HCA_3,0.0,0,0,-,1,16.0
101,2,HCA_3,0.0,0,0,-,2,14.0
102,2,LNL,0.0,0,0,-,1,16.0
103,2,LNL,0.0,0,0,-,2,10.0
104,2,ctrl,0.0,0,0,-,1,870.0
105,2,ctrl,0.0,0,0,-,2,860.0
106,2,ctrl,0.0,0,10,-,1,6651.0
107,2,ctrl,0.0,0,10,-,2,6380.0
108,2,ctrl,0.0,0,30,-,1,1341.0
109,2,ctrl,0.0,0,30,-,2,1142.0
110,2,ctrl,0.0,0,100,-,1,1400.0
111,2,ctrl,0.0,0,100,-,2,1336.0
112,2,stem,5.0,3,0,+,1,400.0
113,2,stem,5.0,3,0,+,2,361.0
114,2,stem,5.0,3,0,-,1,438.0
115,2,stem,5.0,3,0,-,2,421.0
116,2,stem,5.0,3,10,+,1,1289.0
117,2,stem,5.0,3,10,+,2,1666.0
118,2,stem,5.0,3,10,-,1,2796.0
119,2,stem,5.0,3,10,-,2,2042.0
120,2,stem,5.0,3,30,+,1,1573.0
121,2,stem,5.0,3,30,+,2,1386.0
122,2,stem,5.0,3,30,-,1,1487.0
123,2,stem,5.0,3,30,-,2,1112.0
124,2,stem,5.0,3,100,+,1,990.0
125,2,stem,5.0,3,100,+,2,897.0
126,2,stem,5.0,3,100,-,1,1111.0
127,2,stem,5.0,3,100,-,2,1476.0
128,2,stem,7.5,3,0,+,1,812.0
129,2,stem,7.5,3,0,+,2,766.0
130,2,stem,7.5,3,0,-,1,873.0
131,2,stem,7.5,3,0,-,2,890.0
132,2,stem,7.5,3,10,+,1,5062.0
133,2,stem,7.5,3,10,+,2,5385.0
134,2,stem,7.5,3,10,-,1,6436.0
135,2,stem,7.5,3,10,-,2,5912.0
136,2,stem,7.5,3,30,+,1,6918.0
137,2,stem,7.5,3,30,+,2,6953.0
138,2,stem,7.5,3,30,-,1,7153.0
139,2,stem,7.5,3,30,-,2,8368.0
140,2,stem,7.5,3,100,+,1,5234.0
141,2,stem,7.5,3,100,+,2,4955.0
142,2,stem,7.5,3,100,-,1,4570.0
143,2,stem,7.5,3,100,-,2,5885.0
144,2,stem,10.0,3,0,+,1,870.0
145,2,stem,10.0,3,0,+,2,874.0
146,2,stem,10.0,3,0,-,1,925.0
147,2,stem,10.0,3,0,-,2,957.0
148,2,stem,10.0,3,10,+,1,6019.0
149,2,stem,10.0,3,10,+,2,6515.0
150,2,stem,10.0,3,10,-,1,6296.0
151,2,stem,10.0,3,10,-,2,6700.0
152,2,stem,10.0,3,30,+,1,9957.0
153,2,stem,10.0,3,30,+,2,9659.0
154,2,stem,10.0,3,30,-,1,9106.0
155,2,stem,10.0,3,30,-,2,8601.0
156,2,stem,10.0,3,100,+,1,8879.0
157,2,stem,10.0,3,100,+,2,8211.0
158,2,stem,10.0,3,100,-,1,4329.0
159,2,stem,10.0,3,100,-,2,5554.0
160,2,stem,12.5,3,0,+,1,853.0
161,2,stem,12.5,3,0,+,2,879.0
162,2,stem,12.5,3,0,-,1,947.0
163,2,stem,12.5,3,0,-,2,960.0
164,2,stem,12.5,3,10,+,1,6264.0
165,2,stem,12.5,3,10,+,2,6260.0
166,2,stem,12.5,3,10,-,1,6913.0
167,2,stem,12.5,3,10,-,2,6776.0
168,2,stem,12.5,3,30,+,1,9082.0
169,2,stem,12.5,3,30,+,2,9373.0
170,2,stem,12.5,3,30,-,1,6637.0
171,2,stem,12.5,3,30,-,2,7530.0
172,2,stem,12.5,3,100,+,1,5272.0
173,2,stem,12.5,3,100,+,2,5039.0
174,2,stem,12.5,3,100,-,1,2774.0
175,2,stem,12.5,3,100,-,2,2788.0
176,2,stem,15.0,3,0,+,1,851.0
177,2,stem,15.0,3,0,+,2,826.0
178,2,stem,15.0,3,0,-,1,931.0
179,2,stem,15.0,3,0,-,2,941.0
180,2,stem,15.0,3,10,+,1,6240.0
181,2,stem,15.0,3,10,+,2,6106.0
182,2,stem,15.0,3,10,-,1,6789.0
183,2,stem,15.0,3,10,-,2,6926.0
184,2,stem,15.0,3,30,+,1,7805.0
185,2,stem,15.0,3,30,+,2,7818.0
186,2,stem,15.0,3,30,-,1,5651.0
187,2,stem,15.0,3,30,-,2,5472.0
188,2,stem,15.0,3,100,+,1,2509.0
189,2,stem,15.0,3,100,+,2,2284.0
190,2,stem,15.0,3,100,-,1,2512.0
191,2,stem,15.0,3,100,-,2,2406.0
192,3,HCA_1,0.0,0,0,-,1,9.0
193,3,HCA_1,0.0,0,0,-,2,42.0
194,3,HCA_2,0.0,0,0,-,1,12.0
195,3,HCA_2,0.0,0,0,-,2,157.0
196,3,HCA_3,0.0,0,0,-,1,241.0
197,3,HCA_3,0.0,0,0,-,2,8.0
198,3,LNL,0.0,0,0,-,1,11.0
199,3,LNL,0.0,0,0,-,2,10.0
200,3,ctrl,0.0,0,0,-,1,874.0
201,3,ctrl,0.0,0,0,-,2,876.0
202,3,ctrl,0.0,0,10,-,1,6367.0
203,3,ctrl,0.0,0,10,-,2,6063.0
204,3,ctrl,0.0,0,30,-,1,166.0
205,3,ctrl,0.0,0,30,-,2,163.0
206,3,ctrl,0.0,0,100,-,1,569.0
207,3,ctrl,0.0,0,100,-,2,607.0
208,3,stem,5.0,3,0,+,1,556.0
209,3,stem,5.0,3,0,+,2,539.0
210,3,stem,5.0,3,0,-,1,608.0
211,3,stem,5.0,3,0,-,2,596.0
212,3,stem,5.0,3,10,+,1,2506.0
213,3,stem,5.0,3,10,+,2,2760.0
214,3,stem,5.0,3,10,-,1,3347.0
215,3,stem,5.0,3,10,-,2,2670.0
216,3,stem,5.0,3,30,+,1,2340.0
217,3,stem,5.0,3,30,+,2,1628.0
218,3,stem,5.0,3,30,-,1,2152.0
219,3,stem,5.0,3,30,-,2,1906.0
220,3,stem,5.0,3,100,+,1,1723.0
221,3,stem,5.0,3,100,+,2,1268.0
222,3,stem,5.0,3,100,-,1,1521.0
223,3,stem,5.0,3,100,-,2,1312.0
224,3,stem,7.5,3,0,+,1,965.0
225,3,stem,7.5,3,0,+,2,960.0
226,3,stem,7.5,3,0,-,1,907.0
227,3,stem,7.5,3,0,-,2,925.0
228,3,stem,7.5,3,10,+,1,6182.0
229,3,stem,7.5,3,10,+,2,6708.0
230,3,stem,7.5,3,10,-,1,6653.0
231,3,stem,7.5,3,10,-,2,6672.0
232,3,stem,7.5,3,30,+,1,7529.0
233,3,stem,7.5,3,30,+,2,6756.0
234,3,stem,7.5,3,30,-,1,8012.0
235,3,stem,7.5,3,30,-,2,6819.0
236,3,stem,7.5,3,100,+,1,5910.0
237,3,stem,7.5,3,100,+,2,5650.0
238,3,stem,7.5,3,100,-,1,5428.0
239,3,stem,7.5,3,100,-,2,5400.0
240,3,stem,10.0,3,0,+,1,980.0
241,3,stem,10.0,3,0,+,2,979.0
242,3,stem,10.0,3,0,-,1,916.0
243,3,stem,10.0,3,0,-,2,939.0
244,3,stem,10.0,3,10,+,1,6557.0
245,3,stem,10.0,3,10,+,2,6268.0
246,3,stem,10.0,3,10,-,1,7153.0
247,3,stem,10.0,3,10,-,2,6974.0
248,3,stem,10.0,3,30,+,1,1513.0
249,3,stem,10.0,3,30,+,2,3732.0
250,3,stem,10.0,3,30,-,1,922.0
251,3,stem,10.0,3,30,-,2,825.0
252,3,stem,10.0,3,100,+,1,1534.0
253,3,stem,10.0,3,100,+,2,3094.0
254,3,stem,10.0,3,100,-,1,851.0
255,3,stem,10.0,3,100,-,2,1117.0
256,3,stem,12.5,3,0,+,1,889.0
257,3,stem,12.5,3,0,+,2,980.0
258,3,stem,12.5,3,0,-,1,928.0
259,3,stem,12.5,3,0,-,2,945.0
260,3,stem,12.5,3,10,+,1,5806.0
261,3,stem,12.5,3,10,+,2,5185.0
262,3,stem,12.5,3,10,-,1,6899.0
263,3,stem,12.5,3,10,-,2,6761.0
264,3,stem,12.5,3,30,+,1,452.0
265,3,stem,12.5,3,30,+,2,556.0
266,3,stem,12.5,3,30,-,1,435.0
267,3,stem,12.5,3,30,-,2,516.0
268,3,stem,12.5,3,100,+,1,712.0
269,3,stem,12.5,3,100,+,2,637.0
270,3,stem,12.5,3,100,-,1,548.0
271,3,stem,12.5,3,100,-,2,617.0
272,3,stem,15.0,3,0,+,1,785.0
273,3,stem,15.0,3,0,+,2,845.0
274,3,stem,15.0,3,0,-,1,921.0
275,3,stem,15.0,3,0,-,2,944.0
276,3,stem,15.0,3,10,+,1,4194.0
277,3,stem,15.0,3,10,+,2,3329.0
278,3,stem,15.0,3,10,-,1,6622.0
279,3,stem,15.0,3,10,-,2,6760.0
280,3,stem,15.0,3,30,+,1,338.0
281,3,stem,15.0,3,30,+,2,338.0
282,3,stem,15.0,3,30,-,1,330.0
283,3,stem,15.0,3,30,-,2,317.0
284,3,stem,15.0,3,100,+,1,269.0
285,3,stem,15.0,3,100,+,2,184.0
286,3,stem,15.0,3,100,-,1,553.0
287,3,stem,15.0,3,100,-,2,498.0
288,4,HCA_1,0.0,0,0,-,1,9.0
289,4,HCA_1,0.0,0,0,-,2,9.0
290,4,HCA_2,0.0,0,0,-,1,13.0
291,4,HCA_2,0.0,0,0,-,2,14.0
292,4,HCA_3,0.0,0,0,-,1,25.0
293,4,HCA_3,0.0,0,0,-,2,10.0
294,4,LNL,0.0,0,0,-,1,123.0
295,4,LNL,0.0,0,0,-,2,8.0
296,4,ctrl,0.0,0,0,-,1,858.0
297,4,ctrl,0.0,0,0,-,2,847.0
298,4,ctrl,0.0,0,10,-,1,7078.0
299,4,ctrl,0.0,0,10,-,2,6999.0
300,4,ctrl,0.0,0,30,-,1,145.0
301,4,ctrl,0.0,0,30,-,2,141.0
302,4,ctrl,0.0,0,100,-,1,275.0
303,4,ctrl,0.0,0,100,-,2,305.0
304,4,stem,5.0,3,0,+,1,630.0
305,4,stem,5.0,3,0,+,2,640.0
306,4,stem,5.0,3,0,-,1,727.0
307,4,stem,5.0,3,0,-,2,712.0
308,4,stem,5.0,3,10,+,1,3373.0
309,4,stem,5.0,3,10,+,2,3753.0
310,4,stem,5.0,3,10,-,1,3931.0
311,4,stem,5.0,3,10,-,2,4093.0
312,4,stem,5.0,3,30,+,1,2646.0
313,4,stem,5.0,3,30,+,2,2963.0
314,4,stem,5.0,3,30,-,1,3090.0
315,4,stem,5.0,3,30,-,2,3222.0
316,4,stem,5.0,3,100,+,1,2144.0
317,4,stem,5.0,3,100,+,2,1618.0
318,4,stem,5.0,3,100,-,1,1335.0
319,4,stem,5.0,3,100,-,2,1874.0
320,4,stem,7.5,3,0,+,1,819.0
321,4,stem,7.5,3,0,+,2,849.0
322,4,stem,7.5,3,0,-,1,887.0
323,4,stem,7.5,3,0,-,2,893.0
324,4,stem,7.5,3,10,+,1,6008.0
325,4,stem,7.5,3,10,+,2,5772.0
326,4,stem,7.5,3,10,-,1,6576.0
327,4,stem,7.5,3,10,-,2,6498.0
328,4,stem,7.5,3,30,+,1,6695.0
329,4,stem,7.5,3,30,+,2,6922.0
330,4,stem,7.5,3,30,-,1,3978.0
331,4,stem,7.5,3,30,-,2,2654.0
332,4,stem,7.5,3,100,+,1,4361.0
333,4,stem,7.5,3,100,+,2,4809.0
334,4,stem,7.5,3,100,-,1,4107.0
335,4,stem,7.5,3,100,-,2,4076.0
336,4,stem,10.0,3,0,+,1,265.0
337,4,stem,10.0,3,0,+,2,309.0
338,4,stem,10.0,3,0,-,1,895.0
339,4,stem,10.0,3,0,-,2,924.0
340,4,stem,10.0,3,10,+,1,746.0
341,4,stem,10.0,3,10,+,2,466.0
342,4,stem,10.0,3,10,-,1,6556.0
343,4,stem,10.0,3,10,-,2,6633.0
344,4,stem,10.0,3,30,+,1,365.0
345,4,stem,10.0,3,30,+,2,1096.0
346,4,stem,10.0,3,30,-,1,164.0
347,4,stem,10.0,3,30,-,2,153.0
348,4,stem,10.0,3,100,+,1,245.0
349,4,stem,10.0,3,100,+,2,389.0
350,4,stem,10.0,3,100,-,1,360.0
351,4,stem,10.0,3,100,-,2,416.0
352,4,stem,12.5,3,0,+,1,241.0
353,4,stem,12.5,3,0,+,2,160.0
354,4,stem,12.5,3,0,-,1,914.0
355,4,stem,12.5,3,0,-,2,912.0
356,4,stem,12.5,3,10,+,1,331.0
357,4,stem,12.5,3,10,+,2,465.0
358,4,stem,12.5,3,10,-,1,6592.0
359,4,stem,12.5,3,10,-,2,6730.0
360,4,stem,12.5,3,30,+,1,158.0
361,4,stem,12.5,3,30,+,2,154.0
362,4,stem,12.5,3,30,-,1,148.0
363,4,stem,12.5,3,30,-,2,145.0
364,4,stem,12.5,3,100,+,1,162.0
365,4,stem,12.5,3,100,+,2,148.0
366,4,stem,12.5,3,100,-,1,294.0
367,4,stem,12.5,3,100,-,2,325.0
368,4,stem,15.0,3,0,+,1,243.0
369,4,stem,15.0,3,0,+,2,225.0
370,4,stem,15.0,3,0,-,1,920.0
371,4,stem,15.0,3,0,-,2,893.0
372,4,stem,15.0,3,10,+,1,331.0
373,4,stem,15.0,3,10,+,2,294.0
374,4,stem,15.0,3,10,-,1,6555.0
375,4,stem,15.0,3,10,-,2,6879.0
376,4,stem,15.0,3,30,+,1,151.0
377,4,stem,15.0,3,30,+,2,143.0
378,4,stem,15.0,3,30,-,1,150.0
379,4,stem,15.0,3,30,-,2,159.0
380,4,stem,15.0,3,100,+,1,194.0
381,4,stem,15.0,3,100,+,2,141.0
382,4,stem,15.0,3,100,-,1,304.0
383,4,stem,15.0,3,100,-,2,269.0
384,5,HCA_1,0.0,0,0,-,1,13.0
385,5,HCA_1,0.0,0,0,-,2,9.0
386,5,HCA_2,0.0,0,0,-,1,10.0
387,5,HCA_2,0.0,0,0,-,2,12.0
388,5,HCA_3,0.0,0,0,-,1,11.0
389,5,HCA_3,0.0,0,0,-,2,11.0
390,5,LNL,0.0,0,0,-,1,12.0
391,5,LNL,0.0,0,0,-,2,13.0
392,5,ctrl,0.0,0,0,-,1,847.0
393,5,ctrl,0.0,0,0,-,2,847.0
394,5,ctrl,0.0,0,10,-,1,6146.0
395,5,ctrl,0.0,0,10,-,2,6174.0
396,5,ctrl,0.0,0,30,-,1,154.0
397,5,ctrl,0.0,0,30,-,2,146.0
398,5,ctrl,0.0,0,100,-,1,196.0
399,5,ctrl,0.0,0,100,-,2,202.0
400,5,stem,5.0,3,0,+,1,510.0
401,5,stem,5.0,3,0,+,2,662.0
402,5,stem,5.0,3,0,-,1,812.0
403,5,stem,5.0,3,0,-,2,794.0
404,5,stem,5.0,3,10,+,1,3021.0
405,5,stem,5.0,3,10,+,2,3259.0
406,5,stem,5.0,3,10,-,1,3703.0
407,5,stem,5.0,3,10,-,2,4530.0
408,5,stem,5.0,3,30,+,1,2246.0
409,5,stem,5.0,3,30,+,2,2341.0
410,5,stem,5.0,3,30,-,1,2065.0
411,5,stem,5.0,3,30,-,2,2160.0
412,5,stem,5.0,3,100,+,1,1442.0
413,5,stem,5.0,3,100,+,2,1050.0
414,5,stem,5.0,3,100,-,1,1012.0
415,5,stem,5.0,3,100,-,2,876.0
416,5,stem,7.5,3,0,+,1,675.0
417,5,stem,7.5,3,0,+,2,733.0
418,5,stem,7.5,3,0,-,1,902.0
419,5,stem,7.5,3,0,-,2,928.0
420,5,stem,7.5,3,10,+,1,4879.0
421,5,stem,7.5,3,10,+,2,4284.0
422,5,stem,7.5,3,10,-,1,6331.0
423,5,stem,7.5,3,10,-,2,6490.0
424,5,stem,7.5,3,30,+,1,5791.0
425,5,stem,7.5,3,30,+,2,5983.0
426,5,stem,7.5,3,30,-,1,758.0
427,5,stem,7.5,3,30,-,2,563.0
428,5,stem,7.5,3,100,+,1,4138.0
429,5,stem,7.5,3,100,+,2,3838.0
430,5,stem,7.5,3,100,-,1,2088.0
431,5,stem,7.5,3,100,-,2,1183.0
432,5,stem,10.0,3,0,+,1,332.0
433,5,stem,10.0,3,0,+,2,417.0
434,5,stem,10.0,3,0,-,1,908.0
435,5,stem,10.0,3,0,-,2,926.0
436,5,stem,10.0,3,10,+,1,249.0
437,5,stem,10.0,3,10,+,2,296.0
438,5,stem,10.0,3,10,-,1,6206.0
439,5,stem,10.0,3,10,-,2,6233.0
440,5,stem,10.0,3,30,+,1,177.0
441,5,stem,10.0,3,30,+,2,201.0
442,5,stem,10.0,3,30,-,1,144.0
443,5,stem,10.0,3,30,-,2,147.0
444,5,stem,10.0,3,100,+,1,220.0
445,5,stem,10.0,3,100,+,2,160.0
446,5,stem,10.0,3,100,-,1,228.0
447,5,stem,10.0,3,100,-,2,260.0
448,5,stem,12.5,3,0,+,1,344.0
449,5,stem,12.5,3,0,+,2,206.0
450,5,stem,12.5,3,0,-,1,910.0
451,5,stem,12.5,3,0,-,2,942.0
452,5,stem,12.5,3,10,+,1,183.0
453,5,stem,12.5,3,10,+,2,303.0
454,5,stem,12.5,3,10,-,1,6410.0
455,5,stem,12.5,3,10,-,2,6436.0
456,5,stem,12.5,3,30,+,1,154.0
457,5,stem,12.5,3,30,+,2,149.0
458,5,stem,12.5,3,30,-,1,140.0
459,5,stem,12.5,3,30,-,2,139.0
460,5,stem,12.5,3,100,+,1,154.0
461,5,stem,12.5,3,100,+,2,149.0
462,5,stem,12.5,3,100,-,1,205.0
463,5,stem,12.5,3,100,-,2,220.0
464,5,stem,15.0,3,0,+,1,276.0
465,5,stem,15.0,3,0,+,2,267.0
466,5,stem,15.0,3,0,-,1,907.0
467,5,stem,15.0,3,0,-,2,937.0
468,5,stem,15.0,3,10,+,1,196.0
469,5,stem,15.0,3,10,+,2,163.0
470,5,stem,15.0,3,10,-,1,6099.0
471,5,stem,15.0,3,10,-,2,6219.0
472,5,stem,15.0,3,30,+,1,148.0
473,5,stem,15.0,3,30,+,2,147.0
474,5,stem,15.0,3,30,-,1,151.0
475,5,stem,15.0,3,30,-,2,158.0
476,5,stem,15.0,3,100,+,1,171.0
477,5,stem,15.0,3,100,+,2,139.0
478,5,stem,15.0,3,100,-,1,210.0
479,5,stem,15.0,3,100,-,2,194.0
480,6,HCA_1,0.0,0,0,-,1,11.0
481,6,HCA_1,0.0,0,0,-,2,9.0
482,6,HCA_2,0.0,0,0,-,1,11.0
483,6,HCA_2,0.0,0,0,-,2,14.0
484,6,HCA_3,0.0,0,0,-,1,9.0
485,6,HCA_3,0.0,0,0,-,2,8.0
486,6,LNL,0.0,0,0,-,1,12.0
487,6,LNL,0.0,0,0,-,2,8.0
488,6,ctrl,0.0,0,0,-,1,818.0
489,6,ctrl,0.0,0,0,-,2,839.0
490,6,ctrl,0.0,0,10,-,1,5646.0
491,6,ctrl,0.0,0,10,-,2,6042.0
492,6,ctrl,0.0,0,30,-,1,145.0
493,6,ctrl,0.0,0,30,-,2,142.0
494,6,ctrl,0.0,0,100,-,1,162.0
495,6,ctrl,0.0,0,100,-,2,167.0
496,6,stem,5.0,3,0,+,1,543.0
497,6,stem,5.0,3,0,+,2,624.0
498,6,stem,5.0,3,0,-,1,876.0
499,6,stem,5.0,3,0,-,2,842.0
500,6,stem,5.0,3,10,+,1,3018.0
501,6,stem,5.0,3,10,+,2,3094.0
502,6,stem,5.0,3,10,-,1,4142.0
503,6,stem,5.0,3,10,-,2,4838.0
504,6,stem,5.0,3,30,+,1,2967.0
505,6,stem,5.0,3,30,+,2,2886.0
506,6,stem,5.0,3,30,-,1,2624.0
507,6,stem,5.0,3,30,-,2,2666.0
508,6,stem,5.0,3,100,+,1,1783.0
509,6,stem,5.0,3,100,+,2,1642.0
510,6,stem,5.0,3,100,-,1,1691.0
511,6,stem,5.0,3,100,-,2,1535.0
512,6,stem,7.5,3,0,+,1,738.0
513,6,stem,7.5,3,0,+,2,703.0
514,6,stem,7.5,3,0,-,1,922.0
515,6,stem,7.5,3,0,-,2,920.0
516,6,stem,7.5,3,10,+,1,4805.0
517,6,stem,7.5,3,10,+,2,3539.0
518,6,stem,7.5,3,10,-,1,5820.0
519,6,stem,7.5,3,10,-,2,5920.0
520,6,stem,7.5,3,30,+,1,3350.0
521,6,stem,7.5,3,30,+,2,3195.0
522,6,stem,7.5,3,30,-,1,239.0
523,6,stem,7.5,3,30,-,2,215.0
524,6,stem,7.5,3,100,+,1,1967.0
525,6,stem,7.5,3,100,+,2,3993.0
526,6,stem,7.5,3,100,-,1,877.0
527,6,stem,7.5,3,100,-,2,547.0
528,6,stem,10.0,3,0,+,1,280.0
529,6,stem,10.0,3,0,+,2,362.0
530,6,stem,10.0,3,0,-,1,904.0
531,6,stem,10.0,3,0,-,2,931.0
532,6,stem,10.0,3,10,+,1,185.0
533,6,stem,10.0,3,10,+,2,372.0
534,6,stem,10.0,3,10,-,1,5789.0
535,6,stem,10.0,3,10,-,2,5852.0
536,6,stem,10.0,3,30,+,1,156.0
537,6,stem,10.0,3,30,+,2,161.0
538,6,stem,10.0,3,30,-,1,147.0
539,6,stem,10.0,3,30,-,2,142.0
540,6,stem,10.0,3,100,+,1,217.0
541,6,stem,10.0,3,100,+,2,150.0
542,6,stem,10.0,3,100,-,1,165.0
543,6,stem,10.0,3,100,-,2,193.0
544,6,stem,12.5,3,0,+,1,299.0
545,6,stem,12.5,3,0,+,2,203.0
546,6,stem,12.5,3,0,-,1,915.0
547,6,stem,12.5,3,0,-,2,929.0
548,6,stem,12.5,3,10,+,1,158.0
549,6,stem,12.5,3,10,+,2,198.0
550,6,stem,12.5,3,10,-,1,5850.0
551,6,stem,12.5,3,10,-,2,6126.0
552,6,stem,12.5,3,30,+,1,148.0
553,6,stem,12.5,3,30,+,2,144.0
554,6,stem,12.5,3,30,-,1,139.0
555,6,stem,12.5,3,30,-,2,133.0
556,6,stem,12.5,3,100,+,1,156.0
557,6,stem,12.5,3,100,+,2,145.0
558,6,stem,12.5,3,100,-,1,159.0
559,6,stem,12.5,3,100,-,2,159.0
560,6,stem,15.0,3,0,+,1,259.0
561,6,stem,15.0,3,0,+,2,229.0
562,6,stem,15.0,3,0,-,1,906.0
563,6,stem,15.0,3,0,-,2,914.0
564,6,stem,15.0,3,10,+,1,224.0
565,6,stem,15.0,3,10,+,2,155.0
566,6,stem,15.0,3,10,-,1,5787.0
567,6,stem,15.0,3,10,-,2,5917.0
568,6,stem,15.0,3,30,+,1,144.0
569,6,stem,15.0,3,30,+,2,140.0
570,6,stem,15.0,3,30,-,1,146.0
571,6,stem,15.0,3,30,-,2,163.0
572,6,stem,15.0,3,100,+,1,158.0
573,6,stem,15.0,3,100,+,2,143.0
574,6,stem,15.0,3,100,-,1,166.0
575,6,stem,15.0,3,100,-,2,150.0
576,7,HCA_1,0.0,0,0,-,1,14.0
577,7,HCA_1,0.0,0,0,-,2,9.0
578,7,HCA_2,0.0,0,0,-,1,14.0
579,7,HCA_2,0.0,0,0,-,2,10.0
580,7,HCA_3,0.0,0,0,-,1,13.0
581,7,HCA_3,0.0,0,0,-,2,14.0
582,7,LNL,0.0,0,0,-,1,9.0
583,7,LNL,0.0,0,0,-,2,10.0
