,plate,strain,sal,las,iptg,chlor,replicate,Measurement
0,1,HCA_1,0.0,0,0,-,1,11.0
1,1,HCA_1,0.0,0,0,-,2,11.0
2,1,HCA_2,0.0,0,0,-,1,12.0
3,1,HCA_2,0.0,0,0,-,2,12.0
4,1,HCA_3,0.0,0,0,-,1,11.0
5,1,HCA_3,0.0,0,0,-,2,13.0
6,1,LNL,0.0,0,0,-,1,12.0
7,1,LNL,0.0,0,0,-,2,12.0
8,1,ctrl,0.0,0,0,-,1,766.0
9,1,ctrl,0.0,0,0,-,2,755.0
10,1,ctrl,0.0,0,10,-,1,6315.0
11,1,ctrl,0.0,0,10,-,2,5993.0
12,1,ctrl,0.0,0,30,-,1,9362.0
13,1,ctrl,0.0,0,30,-,2,8875.0
14,1,ctrl,0.0,0,100,-,1,4712.0
15,1,ctrl,0.0,0,100,-,2,4517.0
16,1,stem,5.0,3,0,+,1,164.0
17,1,stem,5.0,3,0,+,2,146.0
18,1,stem,5.0,3,0,-,1,184.0
19,1,stem,5.0,3,0,-,2,200.0
20,1,stem,5.0,3,10,+,1,297.0
21,1,stem,5.0,3,10,+,2,394.0
22,1,stem,5.0,3,10,-,1,1044.0
23,1,stem,5.0,3,10,-,2,937.0
24,1,stem,5.0,3,30,+,1,432.0
25,1,stem,5.0,3,30,+,2,291.0
26,1,stem,5.0,3,30,-,1,679.0
27,1,stem,5.0,3,30,-,2,400.0
28,1,stem,5.0,3,100,+,1,256.0
29,1,stem,5.0,3,100,+,2,248.0
30,1,stem,5.0,3,100,-,1,382.0
31,1,stem,5.0,3,100,-,2,677.0
32,1,stem,7.5,3,0,+,1,346.0
33,1,stem,7.5,3,0,+,2,300.0
34,1,stem,7.5,3,0,-,1,492.0
35,1,stem,7.5,3,0,-,2,451.0
36,1,stem,7.5,3,10,+,1,1402.0
37,1,stem,7.5,3,10,+,2,1638.0
38,1,stem,7.5,3,10,-,1,3334.0
39,1,stem,7.5,3,10,-,2,3249.0
40,1,stem,7.5,3,30,+,1,1972.0
41,1,stem,7.5,3,30,+,2,1729.0
42,1,stem,7.5,3,30,-,1,3517.0
43,1,stem,7.5,3,30,-,2,3443.0
44,1,stem,7.5,3,100,+,1,1607.0
45,1,stem,7.5,3,100,+,2,1774.0
46,1,stem,7.5,3,100,-,1,2337.0
47,1,stem,7.5,3,100,-,2,2698.0
48,1,stem,10.0,3,0,+,1,536.0
49,1,stem,10.0,3,0,+,2,528.0
50,1,stem,10.0,3,0,-,1,647.0
