,fraction,mean,well,strain,sal,las,iptg,chlor,replicate,condition,plate
0,1.0,1.9044911466563514,A01,stem,5.0,3,0,-,1,5.0 sal,1
1,0.9301274060301296,1.8156205035241912,B01,stem,5.0,3,10,-,1,5.0 sal,1
2,0.06987259396987049,3.269389941732016,B01,stem,5.0,3,10,-,1,5.0 sal,1
3,0.9200611646773988,1.7801194452620743,C01,stem,5.0,3,30,-,1,5.0 sal,1
4,0.0799388353226012,3.340852262054878,C01,stem,5.0,3,30,-,1,5.0 sal,1
5,0.9328867516431826,1.8185995854664476,D01,stem,5.0,3,100,-,1,5.0 sal,1
6,0.06711324835681737,3.4485181247284857,D01,stem,5.0,3,100,-,1,5.0 sal,1
7,1.0,1.9176350753850688,E01,stem,5.0,3,0,-,2,5.0 sal,1
8,0.9195732201909278,1.8711046901561605,F01,stem,5.0,3,10,-,2,5.0 sal,1
9,0.08042677980907219,3.2967033558593823,F01,stem,5.0,3,10,-,2,5.0 sal,1
10,0.8959469665184191,1.8352535458198764,G01,stem,5.0,3,30,-,2,5.0 sal,1
11,0.10405303348158093,3.387853272401084,G01,stem,5.0,3,30,-,2,5.0 sal,1
12,0.924710865638172,1.8623355318813546,H01,stem,5.0,3,100,-,2,5.0 sal,1
13,0.07528913436182803,3.4719451912994463,H01,stem,5.0,3,100,-,2,5.0 sal,1
14,1.0,2.109912933427846,A02,stem,7.5,3,0,-,1,7.5 sal,1
15,0.4205567905155076,1.8269708656734738,B02,stem,7.5,3,10,-,1,7.5 sal,1
16,0.5794432094844925,3.222138457053519,B02,stem,7.5,3,10,-,1,7.5 sal,1
17,0.37080037424513057,1.7942833454996097,C02,stem,7.5,3,30,-,1,7.5 sal,1
18,0.6291996257548694,3.49719385221053,C02,stem,7.5,3,30,-,1,7.5 sal,1
19,0.4643189116106135,1.7987092059131962,D02,stem,7.5,3,100,-,1,7.5 sal,1
20,0.5356810883893866,3.602017334842414,D02,stem,7.5,3,100,-,1,7.5 sal,1
21,1.0,2.058476706976726,E02,stem,7.5,3,0,-,2,7.5 sal,1
22,0.3835786636342578,1.80654982589201,F02,stem,7.5,3,10,-,2,7.5 sal,1
23,0.6164213363657423,3.2043925899836623,F02,stem,7.5,3,10,-,2,7.5 sal,1
24,0.35443971511652406,1.8144220038949446,G02,stem,7.5,3,30,-,2,7.5 sal,1
25,0.6455602848834759,3.5241813548486567,G02,stem,7.5,3,30,-,2,7.5 sal,1
26,0.4307329112565726,1.71931998653172,H02,stem,7.5,3,100,-,2,7.5 sal,1
27,0.5692670887434274,3.5511066663494812,H02,stem,7.5,3,100,-,2,7.5 sal,1
28,1.0,2.3629432871668574,A03,stem,10.0,3,0,-,1,10.0 sal,1
29,1.0,3.2612016211647097,B03,stem,10.0,3,10,-,1,10.0 sal,1
30,0.07201309328968904,2.159459334888819,C03,stem,10.0,3,30,-,1,10.0 sal,1
31,0.9279869067103109,3.7257061616141107,C03,stem,10.0,3,30,-,1,10.0 sal,1
32,0.13422708393305094,2.345951202006499,D03,stem,10.0,3,100,-,1,10.0 sal,1
33,0.8657729160669491,3.8168399248139195,D03,stem,10.0,3,100,-,1,10.0 sal,1
34,0.9999387917491278,2.3343373075203626,E03,stem,10.0,3,0,-,2,10.0 sal,1
35,1.0,3.232535452350231,F03,stem,10.0,3,10,-,2,10.0 sal,1
36,0.07028955954323002,2.204301268390942,G03,stem,10.0,3,30,-,2,10.0 sal,1
37,0.92971044045677,3.7473699167197854,G03,stem,10.0,3,30,-,2,10.0 sal,1
38,0.1194783253667381,2.219120202858845,H03,stem,10.0,3,100,-,2,10.0 sal,1
39,0.8805216746332619,3.770158933646841,H03,stem,10.0,3,100,-,2,10.0 sal,1
40,1.0,1.8328454597874206,A06,stem,5.0,3,0,+,1,5.0 sal +chlor,1
41,1.0,1.8811911967395503,B06,stem,5.0,3,10,+,1,5.0 sal +chlor,1
42,0.9404217453386586,1.8052350179956174,C06,stem,5.0,3,30,+,1,5.0 sal +chlor,1
43,0.05957825466134139,3.2974370260436743,C06,stem,5.0,3,30,+,1,5.0 sal +chlor,1
44,0.9596446910717243,1.7939276077074708,D06,stem,5.0,3,100,+,1,5.0 sal +chlor,1
45,0.040355308928275636,3.3472310528724365,D06,stem,5.0,3,100,+,1,5.0 sal +chlor,1
46,1.0,1.8147736073521004,E06,stem,5.0,3,0,+,2,5.0 sal +chlor,1
47,0.9582059333939343,1.8249992497783183,F06,stem,5.0,3,10,+,2,5.0 sal +chlor,1
48,0.04179406660606561,3.1674178790492777,F06,stem,5.0,3,10,+,2,5.0 sal +chlor,1
49,0.9098484214052425,1.7634680430946241,G06,stem,5.0,3,30,+,2,5.0 sal +chlor,1
50,0.09015157859475756,3.254432836772714,G06,stem,5.0,3,30,+,2,5.0 sal +chlor,1
51,0.963329769852956,1.9298689104212197,H06,stem,5.0,3,100,+,2,5.0 sal +chlor,1
52,0.03667023014704399,3.4225716720869923,H06,stem,5.0,3,100,+,2,5.0 sal +chlor,1
53,1.0,2.0071648301076372,A07,stem,7.5,3,0,+,1,7.5 sal +chlor,1
54,0.5181668301437903,1.789538272070352,B07,stem,7.5,3,10,+,1,7.5 sal +chlor,1
55,0.4818331698562097,3.0619837640112975,B07,stem,7.5,3,10,+,1,7.5 sal +chlor,1
56,0.44778386241122614,1.736485233262071,C07,stem,7.5,3,30,+,1,7.5 sal +chlor,1
57,0.5522161375887739,3.3838545270257705,C07,stem,7.5,3,30,+,1,7.5 sal +chlor,1
58,0.5488639060915349,1.7217923419378893,D07,stem,7.5,3,100,+,1,7.5 sal +chlor,1
59,0.45113609390846515,3.4710088123888827,D07,stem,7.5,3,100,+,1,7.5 sal +chlor,1
60,1.0,2.000830609590731,E07,stem,7.5,3,0,+,2,7.5 sal +chlor,1
61,0.5093451097762616,1.789887027644889,F07,stem,7.5,3,10,+,2,7.5 sal +chlor,1
62,0.4906548902237385,3.0676857110177416,F07,stem,7.5,3,10,+,2,7.5 sal +chlor,1
63,0.3500759109311741,1.7859739918882516,G07,stem,7.5,3,30,+,2,7.5 sal +chlor,1
64,0.6499240890688259,3.4269803898318436,G07,stem,7.5,3,30,+,2,7.5 sal +chlor,1
65,0.6169613327344738,1.869136991614403,H07,stem,7.5,3,100,+,2,7.5 sal +chlor,1
66,0.3830386672655261,3.515338698021128,H07,stem,7.5,3,100,+,2,7.5 sal +chlor,1
67,1.0,2.2459097308504026,A08,stem,10.0,3,0,+,1,10.0 sal +chlor,1
68,1.0,3.0571269217337873,B08,stem,10.0,3,10,+,1,10.0 sal +chlor,1
69,0.1027849554981338,2.0806114073192403,C08,stem,10.0,3,30,+,1,10.0 sal +chlor,1
70,0.8972150445018662,3.6364938953507844,C08,stem,10.0,3,30,+,1,10.0 sal +chlor,1
71,0.14140376117562428,2.0754171522094054,D08,stem,10.0,3,100,+,1,10.0 sal +chlor,1
72,0.8585962388243757,3.744934372682632,D08,stem,10.0,3,100,+,1,10.0 sal +chlor,1
73,1.0,2.2119236435585354,E08,stem,10.0,3,0,+,2,10.0 sal +chlor,1
74,0.1461469056309724,1.8755647598883691,F08,stem,10.0,3,10,+,2,10.0 sal +chlor,1
75,0.8538530943690276,3.2185808604142085,F08,stem,10.0,3,10,+,2,10.0 sal +chlor,1
76,0.054653865588681155,2.256943618631842,G08,stem,10.0,3,30,+,2,10.0 sal +chlor,1
77,0.9453461344113189,3.717762967638027,G08,stem,10.0,3,30,+,2,10.0 sal +chlor,1
78,0.1942316452026999,1.9509501282999853,H08,stem,10.0,3,100,+,2,10.0 sal +chlor,1
79,0.8057683547973001,3.6732380520992374,H08,stem,10.0,3,100,+,2,10.0 sal +chlor,1
80,1.0,2.6258483837440574,A11,ctrl,0.0,0,0,-,1,naive,1
81,0.018973800008073957,2.0395246532945333,B11,ctrl,0.0,0,10,-,1,naive,1
82,0.9810261999919261,3.667081142726179,B11,ctrl,0.0,0,10,-,1,naive,1
83,0.053105532597298465,1.541661809380066,C11,ctrl,0.0,0,30,-,1,naive,1
84,0.9468944674027016,4.091220973048728,C11,ctrl,0.0,0,30,-,1,naive,1
85,0.8946291337382709,1.608346621963776,D11,ctrl,0.0,0,100,-,1,naive,1
86,0.10537086626172903,3.7483710078642014,D11,ctrl,0.0,0,100,-,1,naive,1
87,1.0,2.631371181273313,E11,ctrl,0.0,0,0,-,2,naive,1
88,0.018565230551912018,2.1366193144792023,F11,ctrl,0.0,0,10,-,2,naive,1
89,0.9814347694480879,3.6756214934701874,F11,ctrl,0.0,0,10,-,2,naive,1
90,0.0747161768924956,1.7431432618152876,G11,ctrl,0.0,0,30,-,2,naive,1
91,0.9252838231075045,4.213344844060049,G11,ctrl,0.0,0,30,-,2,naive,1
92,0.9124565800466078,1.5943654571541592,H11,ctrl,0.0,0,100,-,2,naive,1
93,0.07846370311744273,3.6860476526321073,H11,ctrl,0.0,0,100,-,2,naive,1
0,1.0,2.3023622638677548,A01,stem,5.0,3,0,-,1,5.0 sal,2
1,0.5698958929669444,1.8800033496147683,B01,stem,5.0,3,10,-,1,5.0 sal,2
2,0.43010410703305557,3.6337994133417286,B01,stem,5.0,3,10,-,1,5.0 sal,2
3,0.7018510310475105,1.9291934299969922,C01,stem,5.0,3,30,-,1,5.0 sal,2
4,0.2981489689524895,3.8940411778219275,C01,stem,5.0,3,30,-,1,5.0 sal,2
5,0.7739146698809202,1.9651776234136633,D01,stem,5.0,3,100,-,1,5.0 sal,2
6,0.20875329911261664,2.8440844973745456,D01,stem,5.0,3,100,-,1,5.0 sal,2
7,0.017332031006463144,4.639732341564701,D01,stem,5.0,3,100,-,1,5.0 sal,2
8,1.0,2.2175429395507757,E01,stem,5.0,3,0,-,2,5.0 sal,2
9,0.6477315809427524,1.9057246553496487,F01,stem,5.0,3,10,-,2,5.0 sal,2
10,0.3522684190572476,3.62589766703617,F01,stem,5.0,3,10,-,2,5.0 sal,2
11,0.8411189456895828,1.8900889068635662,G01,stem,5.0,3,30,-,2,5.0 sal,2
12,0.15888105431041719,3.9158658339913344,G01,stem,5.0,3,30,-,2,5.0 sal,2
13,0.7250445632798574,1.8323331238236593,H01,stem,5.0,3,100,-,2,5.0 sal,2
14,0.2749554367201426,3.6229164789275905,H01,stem,5.0,3,100,-,2,5.0 sal,2
15,1.0,2.610323209019964,A02,stem,7.5,3,0,-,1,7.5 sal,2
16,0.09484223673703393,2.2513019373181034,B02,stem,7.5,3,10,-,1,7.5 sal,2
17,0.905157763262966,3.6929128399711555,B02,stem,7.5,3,10,-,1,7.5 sal,2
18,0.15687764406292357,2.5504166921225213,C02,stem,7.5,3,30,-,1,7.5 sal,2
19,0.8431223559370764,4.109035911242038,C02,stem,7.5,3,30,-,1,7.5 sal,2
20,0.30616052151675854,1.8152819093598227,D02,stem,7.5,3,100,-,1,7.5 sal,2
21,0.6938394784832415,3.757050258561577,D02,stem,7.5,3,100,-,1,7.5 sal,2
22,1.0,2.7123680454004178,E02,stem,7.5,3,0,-,2,7.5 sal,2
23,0.08154786150712831,2.2147602578413434,F02,stem,7.5,3,10,-,2,7.5 sal,2
24,0.9184521384928717,3.6904866877875815,F02,stem,7.5,3,10,-,2,7.5 sal,2
25,0.124043035338791,2.4695017063161746,G02,stem,7.5,3,30,-,2,7.5 sal,2
26,0.875956964661209,4.075149699317316,G02,stem,7.5,3,30,-,2,7.5 sal,2
27,0.3106110001051635,1.7984195063948567,H02,stem,7.5,3,100,-,2,7.5 sal,2
28,0.6893889998948365,3.7332746185875356,H02,stem,7.5,3,100,-,2,7.5 sal,2
29,1.0,2.7257633365747087,A03,stem,10.0,3,0,-,1,10.0 sal,2
30,0.01721515907293631,2.2589991544792594,B03,stem,10.0,3,10,-,1,10.0 sal,2
31,0.981446560009733,3.714470793656834,B03,stem,10.0,3,10,-,1,10.0 sal,2
32,0.12044603512836957,1.7654258610346012,C03,stem,10.0,3,30,-,1,10.0 sal,2
33,0.8795539648716304,4.216241485147618,C03,stem,10.0,3,30,-,1,10.0 sal,2
34,0.6325566084318935,1.5532505982698215,D03,stem,10.0,3,100,-,1,10.0 sal,2
35,0.36744339156810646,3.691776580837137,D03,stem,10.0,3,100,-,1,10.0 sal,2
36,1.0,2.737394627248617,E03,stem,10.0,3,0,-,2,10.0 sal,2
37,0.014024365564414942,2.1754055618335784,F03,stem,10.0,3,10,-,2,10.0 sal,2
38,0.985975634435585,3.658950885728463,F03,stem,10.0,3,10,-,2,10.0 sal,2
39,0.14704279666345307,1.794041589223463,G03,stem,10.0,3,30,-,2,10.0 sal,2
40,0.8529572033365469,4.219842395769666,G03,stem,10.0,3,30,-,2,10.0 sal,2
41,0.4310791705937794,1.5483780251253607,H03,stem,10.0,3,100,-,2,10.0 sal,2
42,0.5689208294062206,3.739839525423824,H03,stem,10.0,3,100,-,2,10.0 sal,2
43,1.0,2.2091114787005273,A06,stem,5.0,3,0,+,1,5.0 sal +chlor,2
44,0.6222543352601156,1.9267733223834542,B06,stem,5.0,3,10,+,1,5.0 sal +chlor,2
45,0.3777456647398844,3.619884568384807,B06,stem,5.0,3,10,+,1,5.0 sal +chlor,2
46,0.7881949495999169,1.889667970420219,C06,stem,5.0,3,30,+,1,5.0 sal +chlor,2
47,0.21180505040008313,3.896272073298095,C06,stem,5.0,3,30,+,1,5.0 sal +chlor,2
48,0.8842341230667983,1.9169802966441203,D06,stem,5.0,3,100,+,1,5.0 sal +chlor,2
49,0.0939659427443238,3.5167943527361243,D06,stem,5.0,3,100,+,1,5.0 sal +chlor,2
50,0.02179993418887792,4.548235507547423,D06,stem,5.0,3,100,+,1,5.0 sal +chlor,2
51,1.0,2.1905919229294364,E06,stem,5.0,3,0,+,2,5.0 sal +chlor,2
52,0.646924070140364,1.9082613063434872,F06,stem,5.0,3,10,+,2,5.0 sal +chlor,2
53,0.353075929859636,3.634930821579748,F06,stem,5.0,3,10,+,2,5.0 sal +chlor,2
54,0.7534439607125581,1.8461310845500685,G06,stem,5.0,3,30,+,2,5.0 sal +chlor,2
55,0.2465560392874419,3.887274224867246,G06,stem,5.0,3,30,+,2,5.0 sal +chlor,2
56,0.8709583636174852,1.8440368845697368,H06,stem,5.0,3,100,+,2,5.0 sal +chlor,2
57,0.12904163638251478,3.596325142350652,H06,stem,5.0,3,100,+,2,5.0 sal +chlor,2
58,1.0,2.617155712655628,A07,stem,7.5,3,0,+,1,7.5 sal +chlor,2
59,0.09419952657454428,2.3924083824325506,B07,stem,7.5,3,10,+,1,7.5 sal +chlor,2
60,0.9058004734254558,3.7035418447113555,B07,stem,7.5,3,10,+,1,7.5 sal +chlor,2
61,0.2071109305160504,2.2967892617020103,C07,stem,7.5,3,30,+,1,7.5 sal +chlor,2
62,0.7928890694839497,4.002021548360708,C07,stem,7.5,3,30,+,1,7.5 sal +chlor,2
63,0.3043872483359779,1.8480802595795436,D07,stem,7.5,3,100,+,1,7.5 sal +chlor,2
64,0.6956127516640221,3.762602646071234,D07,stem,7.5,3,100,+,1,7.5 sal +chlor,2
65,1.0,2.6103013132316564,E07,stem,7.5,3,0,+,2,7.5 sal +chlor,2
66,0.09070989470267199,2.3136547016619464,F07,stem,7.5,3,10,+,2,7.5 sal +chlor,2
67,0.909290105297328,3.6690252610735374,F07,stem,7.5,3,10,+,2,7.5 sal +chlor,2
68,0.17598008459997166,2.4746916829512844,G07,stem,7.5,3,30,+,2,7.5 sal +chlor,2
69,0.8240199154000283,4.076880797743996,G07,stem,7.5,3,30,+,2,7.5 sal +chlor,2
70,0.29004220988501445,1.8022819301564612,H07,stem,7.5,3,100,+,2,7.5 sal +chlor,2
71,0.7099577901149855,3.706912623935104,H07,stem,7.5,3,100,+,2,7.5 sal +chlor,2
72,1.0,2.6693582526586286,A08,stem,10.0,3,0,+,1,10.0 sal +chlor,2
73,0.01918266903340326,2.197646686510578,B08,stem,10.0,3,10,+,1,10.0 sal +chlor,2
74,0.9808173309665967,3.689142032737318,B08,stem,10.0,3,10,+,1,10.0 sal +chlor,2
75,0.07980080165188874,2.571324580005607,C08,stem,10.0,3,30,+,1,10.0 sal +chlor,2
76,0.9201991983481113,4.1979848432457665,C08,stem,10.0,3,30,+,1,10.0 sal +chlor,2
77,0.15540169713344873,1.7190477982174246,D08,stem,10.0,3,100,+,1,10.0 sal +chlor,2
78,0.8445983028665512,3.7379415489090877,D08,stem,10.0,3,100,+,1,10.0 sal +chlor,2
79,1.0,2.7086775524450735,E08,stem,10.0,3,0,+,2,10.0 sal +chlor,2
80,0.01656444193366153,2.3343252768955174,F08,stem,10.0,3,10,+,2,10.0 sal +chlor,2
81,0.9834355580663384,3.699348835006345,F08,stem,10.0,3,10,+,2,10.0 sal +chlor,2
82,0.09041635870904163,2.085389349448217,G08,stem,10.0,3,30,+,2,10.0 sal +chlor,2
83,0.9095836412909584,4.261218290782024,G08,stem,10.0,3,30,+,2,10.0 sal +chlor,2
84,0.07116541815055877,1.9491450656511589,H08,stem,10.0,3,100,+,2,10.0 sal +chlor,2
85,0.9288345818494412,3.886841450230147,H08,stem,10.0,3,100,+,2,10.0 sal +chlor,2
86,1.0,2.7249120348541473,A11,ctrl,0.0,0,0,-,1,naive,2
87,0.024288646516682093,2.273374610667083,B11,ctrl,0.0,0,10,-,1,naive,2
88,0.975711353483318,3.7186016886591085,B11,ctrl,0.0,0,10,-,1,naive,2
89,0.9752940215615812,1.8344786195419602,C11,ctrl,0.0,0,30,-,1,naive,2
90,0.02470597843841882,4.161879047271905,C11,ctrl,0.0,0,30,-,1,naive,2
91,0.9684664339971258,1.893630421102706,D11,ctrl,0.0,0,100,-,1,naive,2
92,0.03153356600287415,3.700782886320939,D11,ctrl,0.0,0,100,-,1,naive,2
93,1.0,2.7414824148088344,E11,ctrl,0.0,0,0,-,2,naive,2
94,0.017739074342847928,2.314610028214428,F11,ctrl,0.0,0,10,-,2,naive,2
95,0.9822609256571521,3.720056796261725,F11,ctrl,0.0,0,10,-,2,naive,2
96,0.9738584944467298,1.805316914433839,G11,ctrl,0.0,0,30,-,2,naive,2
97,0.02614150555327026,4.132418587892732,G11,ctrl,0.0,0,30,-,2,naive,2
98,0.973966654377125,1.873855752512643,H11,ctrl,0.0,0,100,-,2,naive,2
99,0.026033345622874935,3.6806161592206186,H11,ctrl,0.0,0,100,-,2,naive,2
0,1.0,2.4776360297929236,A01,stem,5.0,3,0,-,1,5.0 sal,3
1,0.4347351174221737,1.8731408061559116,B01,stem,5.0,3,10,-,1,5.0 sal,3
2,0.5652648825778264,3.7052469017443355,B01,stem,5.0,3,10,-,1,5.0 sal,3
3,0.731432794847429,1.8785885497180235,C01,stem,5.0,3,30,-,1,5.0 sal,3
