,fraction,mean,well,strain,sal,las,iptg,chlor,replicate,condition,plate
0,0.0,,A01,stem,5.0,3,0,-,1,5.0 sal,1
1,0.24229760400103287,2.9030707941768648,B01,stem,5.0,3,10,-,1,5.0 sal,1
2,0.10219508319524209,2.4783371511225396,C01,stem,5.0,3,30,-,1,5.0 sal,1
3,0.07718014003819224,2.2354179261326026,D01,stem,5.0,3,100,-,1,5.0 sal,1
4,0.0,,E01,stem,5.0,3,0,-,2,5.0 sal,1
5,0.22517656834233485,2.8415552136432884,F01,stem,5.0,3,10,-,2,5.0 sal,1
6,0.0492382424376242,2.219024864818713,G01,stem,5.0,3,30,-,2,5.0 sal,1
7,0.18420991362250005,2.5796517320026218,H01,stem,5.0,3,100,-,2,5.0 sal,1
8,0.0,,A02,stem,7.5,3,0,-,1,7.5 sal,1
9,1.0,3.2082721972691903,B02,stem,7.5,3,10,-,1,7.5 sal,1
10,0.7065614969270199,3.370009644051193,C02,stem,7.5,3,30,-,1,7.5 sal,1
11,0.6481848865070982,3.201890231106818,D02,stem,7.5,3,100,-,1,7.5 sal,1
12,0.0,,E02,stem,7.5,3,0,-,2,7.5 sal,1
13,0.7033227127901684,3.400698488699817,F02,stem,7.5,3,10,-,2,7.5 sal,1
14,0.6787370122922561,3.3354981532641825,G02,stem,7.5,3,30,-,2,7.5 sal,1
15,0.6651699961582789,3.2405018408365693,H02,stem,7.5,3,100,-,2,7.5 sal,1
16,1.0,2.5083656491045936,A03,stem,10.0,3,0,-,1,10.0 sal,1
17,1.0,3.5116117375049867,B03,stem,10.0,3,10,-,1,10.0 sal,1
18,1.0,3.7432059857235735,C03,stem,10.0,3,30,-,1,10.0 sal,1
19,1.0,3.6293973724852053,D03,stem,10.0,3,100,-,1,10.0 sal,1
20,1.0,2.5190464530090955,E03,stem,10.0,3,0,-,2,10.0 sal,1
21,1.0,3.5221363019378913,F03,stem,10.0,3,10,-,2,10.0 sal,1
22,1.0,3.774160056129697,G03,stem,10.0,3,30,-,2,10.0 sal,1
23,1.0,3.6413326086162052,H03,stem,10.0,3,100,-,2,10.0 sal,1
24,0.0,,A06,stem,5.0,3,0,+,1,5.0 sal +chlor,1
25,0.0596881083090921,2.1262877449294684,B06,stem,5.0,3,10,+,1,5.0 sal +chlor,1
26,0.07141445418011727,2.1891074967662028,C06,stem,5.0,3,30,+,1,5.0 sal +chlor,1
27,0.03929929215064379,1.8935950443530845,D06,stem,5.0,3,100,+,1,5.0 sal +chlor,1
28,0.0,,E06,stem,5.0,3,0,+,2,5.0 sal +chlor,1
29,0.08896462042060894,2.3479669825349836,F06,stem,5.0,3,10,+,2,5.0 sal +chlor,1
30,0.04072296216167489,1.926081016833965,G06,stem,5.0,3,30,+,2,5.0 sal +chlor,1
31,0.04755540225920497,1.966440002064259,H06,stem,5.0,3,100,+,2,5.0 sal +chlor,1
32,0.0,,A07,stem,7.5,3,0,+,1,7.5 sal +chlor,1
33,0.4120591151612446,2.9605469401242934,B07,stem,7.5,3,10,+,1,7.5 sal +chlor,1
34,0.5833394209462586,3.00722276720542,C07,stem,7.5,3,30,+,1,7.5 sal +chlor,1
35,0.4387046300467035,2.9686013472861505,D07,stem,7.5,3,100,+,1,7.5 sal +chlor,1
36,0.0,,E07,stem,7.5,3,0,+,2,7.5 sal +chlor,1
37,0.4625221605011228,3.046788376017097,F07,stem,7.5,3,10,+,2,7.5 sal +chlor,1
38,0.5464687597889207,2.9996290168800424,G07,stem,7.5,3,30,+,2,7.5 sal +chlor,1
39,0.49353993071809754,2.9971863513553663,H07,stem,7.5,3,100,+,2,7.5 sal +chlor,1
40,0.0,,A08,stem,10.0,3,0,+,1,10.0 sal +chlor,1
41,1.0,3.199843124617646,B08,stem,10.0,3,10,+,1,10.0 sal +chlor,1
42,1.0,3.5295179096101106,C08,stem,10.0,3,30,+,1,10.0 sal +chlor,1
