,plate,strain,sal,las,iptg,chlor,mean,std
174,7,stem,5.0,3,10,+,3.3389756553326837,0.1086941218017792
175,7,stem,5.0,3,10,-,3.4818630737986775,0.10314350261601095
176,7,stem,5.0,3,30,+,3.1628865081375332,0.03607495368285226
177,7,stem,5.0,3,30,-,3.127794317933505,0.08029091986447662
178,7,stem,5.0,3,100,+,3.0496071804697413,0.12473145082285395
179,7,stem,5.0,3,100,-,3.0229676827918666,0.0890243929138156
180,7,stem,7.5,3,0,+,2.6100700911606087,0.0026895989214429914
181,7,stem,7.5,3,0,-,2.710638368093843,0.030570872751277855
182,7,stem,7.5,3,10,+,3.076748495987851,0.19450952699574023
183,7,stem,7.5,3,10,-,3.5949131808992636,0.02354660591685489
184,7,stem,7.5,3,30,+,2.5317357988202196,0.03689036063367018
185,7,stem,7.5,3,30,-,,
186,7,stem,7.5,3,100,+,2.389594939288773,0.5232274990411996
187,7,stem,7.5,3,100,-,,
188,7,stem,10.0,3,0,+,,
189,7,stem,10.0,3,0,-,,
190,7,stem,10.0,3,10,+,,
191,7,stem,10.0,3,10,-,,
192,7,stem,10.0,3,30,+,,
193,7,stem,10.0,3,30,-,,
194,7,stem,10.0,3,100,+,,
195,7,stem,10.0,3,100,-,,
196,8,ctrl,0.0,0,0,-,2.742866552904397,0.013255896602957134
197,8,ctrl,0.0,0,10,-,3.281388586473857,0.17627516071849655
198,8,ctrl,0.0,0,30,-,,
199,8,ctrl,0.0,0,100,-,,
200,8,stem,5.0,3,0,+,2.5489207684070103,
201,8,stem,5.0,3,0,-,2.670443648223559,0.05934338227371642
202,8,stem,5.0,3,10,+,3.285370407244847,0.03509415225565981
203,8,stem,5.0,3,10,-,3.432027349590575,0.06874246828155431
204,8,stem,5.0,3,30,+,3.096743421718322,0.13012859247891645
205,8,stem,5.0,3,30,-,3.0757545272965903,0.10871095425983274
206,8,stem,5.0,3,100,+,2.8806312810853836,0.18684489107902924
207,8,stem,5.0,3,100,-,2.841278510888829,0.07550614563592684
208,8,stem,7.5,3,0,+,2.417873700848098,0.10239733576701449
209,8,stem,7.5,3,0,-,2.721587021121985,0.018632548297399704
210,8,stem,7.5,3,10,+,2.543943465513123,0.1265287019471606
211,8,stem,7.5,3,10,-,3.4991500852854296,0.03324453462969707
212,8,stem,7.5,3,30,+,,
213,8,stem,7.5,3,30,-,,
214,8,stem,7.5,3,100,+,2.1435962777590145,
215,8,stem,7.5,3,100,-,,
216,8,stem,10.0,3,0,+,,
217,8,stem,10.0,3,0,-,,
218,8,stem,10.0,3,10,+,,
219,8,stem,10.0,3,10,-,,
220,8,stem,10.0,3,30,+,,
221,8,stem,10.0,3,30,-,,
222,8,stem,10.0,3,100,+,,
223,8,stem,10.0,3,100,-,,
224,9,ctrl,0.0,0,0,-,2.742939174188013,0.02028364823411318
225,9,ctrl,0.0,0,10,-,3.3251410733272477,0.2916708681799284
226,9,ctrl,0.0,0,30,-,,
227,9,ctrl,0.0,0,100,-,,
228,9,stem,5.0,3,0,+,2.5489207684070103,
229,9,stem,5.0,3,0,-,2.624170255566436,0.0215765242735149
230,9,stem,5.0,3,10,+,3.2784574190920583,0.028186079928338274
231,9,stem,5.0,3,10,-,3.383130513848073,0.06620039277275715
232,9,stem,5.0,3,30,+,3.15445135334266,0.025204011871654577
233,9,stem,5.0,3,30,-,3.0884369085204293,0.06070086992078185
234,9,stem,5.0,3,100,+,2.771304802510349,0.22973198835091838
235,9,stem,5.0,3,100,-,2.823512072956219,0.0022550452354072785
236,9,stem,7.5,3,0,+,2.4598692366687676,0.10476547525372537
237,9,stem,7.5,3,0,-,2.707483841014666,0.01565597350732508
238,9,stem,7.5,3,10,+,2.5139124233827843,0.19194542425766842
239,9,stem,7.5,3,10,-,3.5043437357494267,0.040118097619965896
240,9,stem,7.5,3,30,+,,
241,9,stem,7.5,3,30,-,,
242,9,stem,7.5,3,100,+,,
243,9,stem,7.5,3,100,-,,
