,Unnamed: 0,lam_MB,lam_MD,lam_MS,lam_diff,lam_diffproduction,method,mu_DNs,mu_DPs,mu_MN,mu_MP,mu_PN,mu_PP,n_div,production
0,0,0.001,0.001,0.001,599.9999518999999,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,4056174302.0
1,0,0.001,0.001,1e-06,0.094301955,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,1819591545.0
2,0,0.001,0.001,1e-09,0.094302416,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,1819562592.0
3,0,0.001,0.001,1e-12,0.094302409,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,1819562561.0
4,0,0.001,0.001,0.0,0.094302397,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,1819562558.0
5,0,0.001,1e-06,0.001,20.17828348,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,4124742803.0
6,0,0.001,1e-06,1e-06,0.059812547,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,4428302099.0
7,0,0.001,1e-06,1e-09,0.059812965,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,4430485051.0
8,0,0.001,1e-06,1e-12,0.059812964,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,4430487238.0
9,0,0.001,1e-06,0.0,0.059812969,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,4430487246.0
10,0,0.001,1e-09,0.001,1.076244641,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,4151507890.0
11,0,0.001,1e-09,1e-06,0.057878664,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,6166869890.0
12,0,0.001,1e-09,1e-09,0.062463181,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,6810045371.0
13,0,0.001,1e-09,1e-12,0.062072112,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,6811898562.0
14,0,0.001,1e-09,0.0,0.062072113,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,6811900607.0
15,0,0.001,1e-12,0.001,0.96821503,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,4150567898.0
16,0,0.001,1e-12,1e-06,0.057554572000000005,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,8,6218856137.0
