,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,lam_MB,lam_MD,lam_MS,lam_diff,lam_diffn_dilutions,method,mu_DNs,mu_DPs,mu_MN,mu_MP,mu_PN,mu_PP,n_dilutions,n_div
41,41,41,0,1e-09,0.001,1e-06,0.035545482,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,21,8
42,42,42,0,1e-09,0.001,1e-09,0.035545482,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,21,8
43,43,43,0,1e-09,0.001,1e-12,0.035545482,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,21,8
44,44,44,0,1e-09,0.001,0.0,0.035545482,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,21,8
45,45,45,0,1e-09,1e-06,0.001,0.025207147000000003,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,81,8
46,46,46,0,1e-09,1e-06,1e-06,0.025311067000000003,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,81,8
47,47,47,0,1e-09,1e-06,1e-09,0.025311067000000003,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,81,8
48,48,48,0,1e-09,1e-06,1e-12,0.025311067000000003,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,81,8
49,49,49,0,1e-09,1e-06,0.0,0.025311067000000003,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,81,8
50,50,50,0,1e-09,1e-09,0.001,0.025191229,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,148,8
51,51,51,0,1e-09,1e-09,1e-06,0.025232105,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,147,8
52,52,52,0,1e-09,1e-09,1e-09,0.025232105,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,147,8
53,53,53,0,1e-09,1e-09,1e-12,0.025232105,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,147,8
54,54,54,0,1e-09,1e-09,0.0,0.025232105,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,147,8
55,55,55,0,1e-09,1e-12,0.001,0.025108442999999998,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,197,8
56,56,56,0,1e-09,1e-12,1e-06,0.025232105,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,213,8
57,57,57,0,1e-09,1e-12,1e-09,0.025232105,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,213,8
58,58,58,0,1e-09,1e-12,1e-12,0.025232105,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,213,8
59,59,59,0,1e-09,1e-12,0.0,0.025232105,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,213,8
60,60,60,0,1e-12,0.001,0.001,0.0363911,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,22,8
61,61,61,0,1e-12,0.001,1e-06,0.035545482,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,21,8
62,62,62,0,1e-12,0.001,1e-09,0.035545482,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,21,8
63,63,63,0,1e-12,0.001,1e-12,0.035545482,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,21,8
64,64,64,0,1e-12,0.001,0.0,0.035545482,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,21,8
65,65,65,0,1e-12,1e-06,0.001,0.025207147000000003,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,81,8
66,66,66,0,1e-12,1e-06,1e-06,0.025311067000000003,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,81,8
67,67,67,0,1e-12,1e-06,1e-09,0.025311067000000003,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,81,8
68,68,68,0,1e-12,1e-06,1e-12,0.025311067000000003,0,diff_select,1.5,1.35,1.5,1.35,1.5,1.5,81,8
