Channel,Gain,Time (sec),Time (hr),Well,Measurement,Units,Excitation,Emission,strain,sal,las,iptg,replicate,ChanStr
sfYFP,61,394,0.10944444444444444,E12,0,AFU,503,540,T7diff,30,1,100,1,sfYFP61503540
sfYFP,61,394,0.10944444444444444,F1,5,AFU,503,540,naive_hca,0,0,0,2,sfYFP61503540
sfYFP,61,394,0.10944444444444444,F2,2,AFU,503,540,naive_hca,0,0,10,2,sfYFP61503540
sfYFP,61,394,0.10944444444444444,F3,10,AFU,503,540,naive_hca,0,0,30,2,sfYFP61503540
sfYFP,61,394,0.10944444444444444,F4,6,AFU,503,540,naive_hca,0,0,100,2,sfYFP61503540
sfYFP,61,394,0.10944444444444444,F5,5,AFU,503,540,T7diff,0,1,0,2,sfYFP61503540
sfYFP,61,394,0.10944444444444444,F6,0,AFU,503,540,T7diff,0,1,10,2,sfYFP61503540
sfYFP,61,394,0.10944444444444444,F7,6,AFU,503,540,T7diff,0,1,30,2,sfYFP61503540
sfYFP,61,394,0.10944444444444444,F8,0,AFU,503,540,T7diff,0,1,100,2,sfYFP61503540
sfYFP,61,394,0.10944444444444444,F9,0,AFU,503,540,T7diff,30,1,0,2,sfYFP61503540
sfYFP,61,394,0.10944444444444444,F10,0,AFU,503,540,T7diff,30,1,10,2,sfYFP61503540
sfYFP,61,394,0.10944444444444444,F11,0,AFU,503,540,T7diff,30,1,30,2,sfYFP61503540
sfYFP,61,394,0.10944444444444444,F12,1,AFU,503,540,T7diff,30,1,100,2,sfYFP61503540
sfYFP,61,394,0.10944444444444444,G1,12,AFU,503,540,naive_hca,0,0,0,3,sfYFP61503540
sfYFP,61,394,0.10944444444444444,G2,4,AFU,503,540,naive_hca,0,0,10,3,sfYFP61503540
sfYFP,61,394,0.10944444444444444,G3,6,AFU,503,540,naive_hca,0,0,30,3,sfYFP61503540
sfYFP,61,394,0.10944444444444444,G4,0,AFU,503,540,naive_hca,0,0,100,3,sfYFP61503540
sfYFP,61,394,0.10944444444444444,G5,2,AFU,503,540,T7diff,0,1,0,3,sfYFP61503540
sfYFP,61,394,0.10944444444444444,G6,3,AFU,503,540,T7diff,0,1,10,3,sfYFP61503540
sfYFP,61,394,0.10944444444444444,G7,1,AFU,503,540,T7diff,0,1,30,3,sfYFP61503540
sfYFP,61,394,0.10944444444444444,G8,3,AFU,503,540,T7diff,0,1,100,3,sfYFP61503540
sfYFP,61,394,0.10944444444444444,G9,8,AFU,503,540,T7diff,30,1,0,3,sfYFP61503540
sfYFP,61,394,0.10944444444444444,G10,5,AFU,503,540,T7diff,30,1,10,3,sfYFP61503540
sfYFP,61,394,0.10944444444444444,G11,2,AFU,503,540,T7diff,30,1,30,3,sfYFP61503540
sfYFP,61,394,0.10944444444444444,G12,0,AFU,503,540,T7diff,30,1,100,3,sfYFP61503540
sfYFP,61,394,0.10944444444444444,H1,0,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,394,0.10944444444444444,H2,2,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,394,0.10944444444444444,H3,0,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,394,0.10944444444444444,H4,0,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,394,0.10944444444444444,H5,0,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,394,0.10944444444444444,H6,3,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,394,0.10944444444444444,H7,6,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,394,0.10944444444444444,H8,0,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,394,0.10944444444444444,H9,3,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,394,0.10944444444444444,H10,1,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,394,0.10944444444444444,H11,0,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,394,0.10944444444444444,H12,0,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,994,0.2761111111111111,A1,0,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,994,0.2761111111111111,A2,7,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,994,0.2761111111111111,A3,7,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,994,0.2761111111111111,A4,9,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,994,0.2761111111111111,A5,1,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,994,0.2761111111111111,A6,3,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,994,0.2761111111111111,A7,30,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,994,0.2761111111111111,A8,0,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,994,0.2761111111111111,A9,0,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,994,0.2761111111111111,A10,0,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,994,0.2761111111111111,A11,5,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,994,0.2761111111111111,A12,2,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,994,0.2761111111111111,B1,1,AFU,503,540,naive,0,0,0,1,sfYFP61503540
sfYFP,61,994,0.2761111111111111,B2,0,AFU,503,540,naive,0,0,10,1,sfYFP61503540
sfYFP,61,994,0.2761111111111111,B3,0,AFU,503,540,naive,0,0,30,1,sfYFP61503540
sfYFP,61,994,0.2761111111111111,B4,1,AFU,503,540,naive,0,0,100,1,sfYFP61503540
sfYFP,61,994,0.2761111111111111,B5,0,AFU,503,540,LNL,0,0,0,1,sfYFP61503540
sfYFP,61,994,0.2761111111111111,B6,3,AFU,503,540,LNL,0,0,10,1,sfYFP61503540
sfYFP,61,994,0.2761111111111111,B7,9,AFU,503,540,LNL,0,0,30,1,sfYFP61503540
sfYFP,61,994,0.2761111111111111,B8,1,AFU,503,540,LNL,0,0,100,1,sfYFP61503540
sfYFP,61,994,0.2761111111111111,B9,1,AFU,503,540,T7diff,10,1,0,1,sfYFP61503540
sfYFP,61,994,0.2761111111111111,B10,0,AFU,503,540,T7diff,10,1,10,1,sfYFP61503540
sfYFP,61,994,0.2761111111111111,B11,1,AFU,503,540,T7diff,10,1,30,1,sfYFP61503540
sfYFP,61,994,0.2761111111111111,B12,6,AFU,503,540,T7diff,10,1,100,1,sfYFP61503540
sfYFP,61,994,0.2761111111111111,C1,4,AFU,503,540,naive,0,0,0,2,sfYFP61503540
sfYFP,61,994,0.2761111111111111,C2,0,AFU,503,540,naive,0,0,10,2,sfYFP61503540
sfYFP,61,994,0.2761111111111111,C3,3,AFU,503,540,naive,0,0,30,2,sfYFP61503540
sfYFP,61,994,0.2761111111111111,C4,0,AFU,503,540,naive,0,0,100,2,sfYFP61503540
sfYFP,61,994,0.2761111111111111,C5,4,AFU,503,540,LNL,0,0,0,2,sfYFP61503540
sfYFP,61,994,0.2761111111111111,C6,0,AFU,503,540,LNL,0,0,10,2,sfYFP61503540
sfYFP,61,994,0.2761111111111111,C7,7,AFU,503,540,LNL,0,0,30,2,sfYFP61503540
sfYFP,61,994,0.2761111111111111,C8,3,AFU,503,540,LNL,0,0,100,2,sfYFP61503540
sfYFP,61,994,0.2761111111111111,C9,12,AFU,503,540,T7diff,10,1,0,2,sfYFP61503540
sfYFP,61,994,0.2761111111111111,C10,1,AFU,503,540,T7diff,10,1,10,2,sfYFP61503540
sfYFP,61,994,0.2761111111111111,C11,7,AFU,503,540,T7diff,10,1,30,2,sfYFP61503540
sfYFP,61,994,0.2761111111111111,C12,0,AFU,503,540,T7diff,10,1,100,2,sfYFP61503540
sfYFP,61,994,0.2761111111111111,D1,9,AFU,503,540,naive,0,0,0,3,sfYFP61503540
sfYFP,61,994,0.2761111111111111,D2,0,AFU,503,540,naive,0,0,10,3,sfYFP61503540
sfYFP,61,994,0.2761111111111111,D3,2,AFU,503,540,naive,0,0,30,3,sfYFP61503540
sfYFP,61,994,0.2761111111111111,D4,0,AFU,503,540,naive,0,0,100,3,sfYFP61503540
sfYFP,61,994,0.2761111111111111,D5,1,AFU,503,540,LNL,0,0,0,3,sfYFP61503540
sfYFP,61,994,0.2761111111111111,D6,6,AFU,503,540,LNL,0,0,10,3,sfYFP61503540
sfYFP,61,994,0.2761111111111111,D7,1,AFU,503,540,LNL,0,0,30,3,sfYFP61503540
sfYFP,61,994,0.2761111111111111,D8,0,AFU,503,540,LNL,0,0,100,3,sfYFP61503540
sfYFP,61,994,0.2761111111111111,D9,0,AFU,503,540,T7diff,10,1,0,3,sfYFP61503540
sfYFP,61,994,0.2761111111111111,D10,0,AFU,503,540,T7diff,10,1,10,3,sfYFP61503540
sfYFP,61,994,0.2761111111111111,D11,3,AFU,503,540,T7diff,10,1,30,3,sfYFP61503540
sfYFP,61,994,0.2761111111111111,D12,2,AFU,503,540,T7diff,10,1,100,3,sfYFP61503540
sfYFP,61,994,0.2761111111111111,E1,8,AFU,503,540,naive_hca,0,0,0,1,sfYFP61503540
sfYFP,61,994,0.2761111111111111,E2,5,AFU,503,540,naive_hca,0,0,10,1,sfYFP61503540
sfYFP,61,994,0.2761111111111111,E3,3,AFU,503,540,naive_hca,0,0,30,1,sfYFP61503540
sfYFP,61,994,0.2761111111111111,E4,4,AFU,503,540,naive_hca,0,0,100,1,sfYFP61503540
sfYFP,61,994,0.2761111111111111,E5,5,AFU,503,540,T7diff,0,1,0,1,sfYFP61503540
sfYFP,61,994,0.2761111111111111,E6,7,AFU,503,540,T7diff,0,1,10,1,sfYFP61503540
sfYFP,61,994,0.2761111111111111,E7,0,AFU,503,540,T7diff,0,1,30,1,sfYFP61503540
sfYFP,61,994,0.2761111111111111,E8,0,AFU,503,540,T7diff,0,1,100,1,sfYFP61503540
sfYFP,61,994,0.2761111111111111,E9,3,AFU,503,540,T7diff,30,1,0,1,sfYFP61503540
sfYFP,61,994,0.2761111111111111,E10,4,AFU,503,540,T7diff,30,1,10,1,sfYFP61503540
sfYFP,61,994,0.2761111111111111,E11,5,AFU,503,540,T7diff,30,1,30,1,sfYFP61503540
sfYFP,61,994,0.2761111111111111,E12,0,AFU,503,540,T7diff,30,1,100,1,sfYFP61503540
sfYFP,61,994,0.2761111111111111,F1,7,AFU,503,540,naive_hca,0,0,0,2,sfYFP61503540
sfYFP,61,994,0.2761111111111111,F2,10,AFU,503,540,naive_hca,0,0,10,2,sfYFP61503540
sfYFP,61,994,0.2761111111111111,F3,6,AFU,503,540,naive_hca,0,0,30,2,sfYFP61503540
sfYFP,61,994,0.2761111111111111,F4,1,AFU,503,540,naive_hca,0,0,100,2,sfYFP61503540
sfYFP,61,994,0.2761111111111111,F5,0,AFU,503,540,T7diff,0,1,0,2,sfYFP61503540
sfYFP,61,994,0.2761111111111111,F6,0,AFU,503,540,T7diff,0,1,10,2,sfYFP61503540
sfYFP,61,994,0.2761111111111111,F7,0,AFU,503,540,T7diff,0,1,30,2,sfYFP61503540
sfYFP,61,994,0.2761111111111111,F8,7,AFU,503,540,T7diff,0,1,100,2,sfYFP61503540
sfYFP,61,994,0.2761111111111111,F9,4,AFU,503,540,T7diff,30,1,0,2,sfYFP61503540
sfYFP,61,994,0.2761111111111111,F10,4,AFU,503,540,T7diff,30,1,10,2,sfYFP61503540
sfYFP,61,994,0.2761111111111111,F11,3,AFU,503,540,T7diff,30,1,30,2,sfYFP61503540
sfYFP,61,994,0.2761111111111111,F12,2,AFU,503,540,T7diff,30,1,100,2,sfYFP61503540
sfYFP,61,994,0.2761111111111111,G1,3,AFU,503,540,naive_hca,0,0,0,3,sfYFP61503540
sfYFP,61,994,0.2761111111111111,G2,9,AFU,503,540,naive_hca,0,0,10,3,sfYFP61503540
sfYFP,61,994,0.2761111111111111,G3,6,AFU,503,540,naive_hca,0,0,30,3,sfYFP61503540
sfYFP,61,994,0.2761111111111111,G4,9,AFU,503,540,naive_hca,0,0,100,3,sfYFP61503540
sfYFP,61,994,0.2761111111111111,G5,4,AFU,503,540,T7diff,0,1,0,3,sfYFP61503540
sfYFP,61,994,0.2761111111111111,G6,5,AFU,503,540,T7diff,0,1,10,3,sfYFP61503540
sfYFP,61,994,0.2761111111111111,G7,0,AFU,503,540,T7diff,0,1,30,3,sfYFP61503540
sfYFP,61,994,0.2761111111111111,G8,2,AFU,503,540,T7diff,0,1,100,3,sfYFP61503540
sfYFP,61,994,0.2761111111111111,G9,3,AFU,503,540,T7diff,30,1,0,3,sfYFP61503540
sfYFP,61,994,0.2761111111111111,G10,0,AFU,503,540,T7diff,30,1,10,3,sfYFP61503540
sfYFP,61,994,0.2761111111111111,G11,4,AFU,503,540,T7diff,30,1,30,3,sfYFP61503540
sfYFP,61,994,0.2761111111111111,G12,3,AFU,503,540,T7diff,30,1,100,3,sfYFP61503540
sfYFP,61,994,0.2761111111111111,H1,1,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,994,0.2761111111111111,H2,6,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,994,0.2761111111111111,H3,6,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,994,0.2761111111111111,H4,4,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,994,0.2761111111111111,H5,7,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,994,0.2761111111111111,H6,3,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,994,0.2761111111111111,H7,1,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,994,0.2761111111111111,H8,2,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,994,0.2761111111111111,H9,9,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,994,0.2761111111111111,H10,0,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,994,0.2761111111111111,H11,6,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,994,0.2761111111111111,H12,2,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,A1,0,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,A2,4,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,A3,15,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,A4,6,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,A5,3,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,A6,4,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,A7,26,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,A8,1,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,A9,0,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,A10,7,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,A11,0,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,A12,1,AFU,503,540,blank,0,0,0,0,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,B1,0,AFU,503,540,naive,0,0,0,1,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,B2,4,AFU,503,540,naive,0,0,10,1,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,B3,0,AFU,503,540,naive,0,0,30,1,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,B4,13,AFU,503,540,naive,0,0,100,1,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,B5,0,AFU,503,540,LNL,0,0,0,1,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,B6,1,AFU,503,540,LNL,0,0,10,1,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,B7,0,AFU,503,540,LNL,0,0,30,1,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,B8,0,AFU,503,540,LNL,0,0,100,1,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,B9,3,AFU,503,540,T7diff,10,1,0,1,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,B10,7,AFU,503,540,T7diff,10,1,10,1,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,B11,1,AFU,503,540,T7diff,10,1,30,1,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,B12,5,AFU,503,540,T7diff,10,1,100,1,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,C1,2,AFU,503,540,naive,0,0,0,2,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,C2,2,AFU,503,540,naive,0,0,10,2,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,C3,6,AFU,503,540,naive,0,0,30,2,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,C4,7,AFU,503,540,naive,0,0,100,2,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,C5,5,AFU,503,540,LNL,0,0,0,2,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,C6,6,AFU,503,540,LNL,0,0,10,2,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,C7,3,AFU,503,540,LNL,0,0,30,2,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,C8,0,AFU,503,540,LNL,0,0,100,2,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,C9,2,AFU,503,540,T7diff,10,1,0,2,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,C10,6,AFU,503,540,T7diff,10,1,10,2,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,C11,5,AFU,503,540,T7diff,10,1,30,2,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,C12,0,AFU,503,540,T7diff,10,1,100,2,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,D1,4,AFU,503,540,naive,0,0,0,3,sfYFP61503540
sfYFP,61,1594,0.44277777777777777,D2,4,AFU,503,540,naive,0,0,10,3,sfYFP61503540
